NPA,Residential New Construction,Home Ownership,Housing Density,Housing Age,Housing Size,Sale_Price
2,1,38.7%,3,70,"1,688",488364.0
3,1,38.9%,7,72,"2,775",667092.0
4,1,100%,1,44,"4,168",1493043.0
5,2,23.2%,2,61,"1,181",
6,7,31.5%,2,67,"1,277",445698.0
7,1,92.4%,1,39,"5,569",2660173.0
8,4,47.1%,2,54,"2,072",529911.0
9,22,83.5%,3,52,"1,912",760989.0
10,4,44.3%,3,62,"1,388",478229.0
11,2,79.1%,2,54,"2,891",1024397.0
13,1,35%,4,63,"1,404",481946.0
14,0,42.2%,4,25,"1,900",357567.0
15,1,96.1%,1,45,"2,398",581844.0
16,0,49.8%,3,51,"1,527",273196.0
17,2,50.6%,3,51,"1,631",293365.0
18,11,47.7%,3,40,"3,515",798392.0
19,0,85.9%,2,48,"2,380",418373.0
20,0,70.6%,4,26,"1,944",418173.0
21,78,21.4%,2,38,"1,506",390925.0
22,7,20.9%,12,60,"1,427",481698.0
23,0,20.9%,2,40,"1,449",591028.0
24,2,90.3%,2,64,"1,682",327208.0
25,0,83.6%,2,34,"2,816",478299.0
26,0,85.5%,1,28,"2,055",899528.0
27,0,74.6%,3,24,"1,572",549583.0
28,4,85.3%,3,49,"3,663",370635.0
29,0,87.3%,1,38,"2,895",291169.0
31,0,75.6%,2,51,"3,111",772069.0
33,0,11.6%,2,35,"1,967",
34,13,73.9%,2,25,"1,660",321646.0
35,8,84.7%,1,22,"2,136",372714.0
36,0,84%,2,41,"1,957",435040.0
37,16,57%,4,56,"1,441",348955.0
38,12,86.6%,1,30,"2,444",573136.0
39,0,72.9%,1,31,"1,954",1772045.0
40,2,42.3%,4,39,"1,513",367974.0
41,0,50.7%,2,44,"1,688",254669.0
42,0,69.1%,4,38,"3,278",247895.0
43,1,64.1%,2,49,"3,086",338218.0
44,1,41.1%,2,30,"4,700",764958.0
45,0,64.5%,3,13,"2,864",434200.0
46,1,27.3%,3,34,"1,892",325353.0
47,0,0%,4,42,"3,526",
48,0,57.8%,0,25,"2,042",581879.0
49,0,54.7%,1,35,"1,898",832500.0
50,0,30.9%,4,42,"1,552",293935.0
51,0,57.2%,5,68,"1,955",335791.0
52,0,7.5%,2,63,"1,394",264568.0
53,0,31.2%,3,48,"1,389",520548.0
54,0,81.3%,1,50,"1,252",301079.0
55,4,87.7%,1,39,"2,254",253260.0
56,0,62.5%,1,43,"3,010",
57,0,43.3%,5,21,"1,638",352770.0
58,0,43.1%,2,49,"1,904",222328.0
59,56,29.6%,4,44,"1,576",965152.0
61,0,73.2%,1,30,"1,762",259980.0
64,0,11.8%,6,48,"1,890",328737.0
66,89,9.7%,4,35,"2,043",372176.0
68,0,44.8%,1,27,"2,119",
69,0,43.3%,3,44,"4,505",181539.0
70,1,70.2%,2,61,"1,224",257780.0
71,0,23.8%,4,36,"1,775",1275531.0
72,7,28.4%,2,30,"2,295",
73,2,77.6%,0,23,"1,829",489675.0
74,0,69.5%,4,38,"1,475",312952.0
75,0,68.5%,4,20,"4,405",259033.0
76,3,86.9%,1,16,"2,525",297141.0
77,19,38.5%,2,18,"2,146",
78,0,65.7%,2,21,"2,555",292350.0
80,1,24.7%,2,54,"1,682",318182.0
81,0,91.9%,3,27,"2,007",295565.0
82,75,51.9%,3,17,"2,792",302500.0
83,0,39.3%,0,43,"2,123",165684.0
84,0,62.9%,0,45,"1,938",
85,3,31.4%,3,62,"1,127",272712.0
87,1,49.6%,4,62,"1,464",342462.0
88,14,75.6%,1,50,"1,108",239152.0
89,0,59.4%,2,41,"1,408",330630.0
90,2,22.5%,3,64,"1,412",358163.0
91,0,56.5%,3,41,"1,514",330051.0
94,24,69.3%,1,49,"1,142",
95,0,56.8%,2,26,"1,746",372534.0
96,0,46.1%,3,27,"1,611",295964.0
97,0,58.6%,3,30,"1,886",289979.0
98,7,85.1%,1,15,"2,066",375145.0
99,2,75.6%,2,49,"1,917",343438.0
